,spat_temp_id_str,fishnet_id,temp_day_id,sig_words_dict
0,1_1,1,1,"{'tomcat': 0.16771339469939456, 'sofa': 0.16771339469939456, 'penzance': 0.16771339469939456, 'parlyapp': 0.16771339469939456, 'junemummery': 0.16771339469939456, 'janehobday1': 0.16771339469939456, 'jamesnathan333': 0.16771339469939456, 'jackihicks': 0.16771339469939456, 'catlover': 0.16771339469939456, '5th': 0.35808658985144637}"
1,2_1,2,1,"{'welsh': 0.10643250357687392, 'twenty': 0.10630013047389847, 'spring': 0.09237472949411374, 'rhododendron': 0.11702302295909345, 'police': 0.14078392122595312, 'one': 0.15641714457961187, 'new': 0.13151723263230045, 'march': 0.21402955899876674, 'day': 0.09653714824651037, 'cornwall': 0.17180311950256016}"
2,3_1,3,1,"{'two': 0.14527666793142616, 'tide': 0.14648635394440024, 'three': 0.13403153930976863, 'thousand': 0.14369179827524187, 'one': 0.2118242122574843, 'march': 0.22882457332742667, 'hundred': 0.15732392937355397, 'dorset': 0.13996269240836037, 'back': 0.103867148194002, 'world': 0.19038355291228545}"
